catalog_id,heuristic,k,n_users,mean_rank,ndcg@5,ndcg@10,recall@5,recall@10
olist_all,content_knn_3,8,11,1000.0000,0.00000,0.00000,0.00000,0.00000
olist_all,content_knn_5,8,11,1000.0000,0.00000,0.00000,0.00000,0.00000
olist_all,last_item_nbhd,8,11,1000.0000,0.00000,0.00000,0.00000,0.00000
olist_all,pop_scaled_content,8,11,1000.0000,0.00000,0.00000,0.00000,0.00000
olist_all,co_purchase,8,11,1000.0000,0.00000,0.00000,0.00000,0.00000
olist_all,lambda_hybrid_0.25,8,11,1000.0000,0.00000,0.00000,0.00000,0.00000
olist_all,lambda_hybrid_0.5,8,11,1000.0000,0.00000,0.00000,0.00000,0.00000
olist_all,lambda_hybrid_0.75,8,11,1000.0000,0.00000,0.00000,0.00000,0.00000
olist_all,active_elic2,8,11,,,,,
olist_furniture_decor,pop_global,0,124,74.8145,0.05918,0.07741,0.10484,0.16129
olist_furniture_decor,recency_pop_0.1,0,124,175.6452,0.04146,0.05815,0.08065,0.12903
olist_furniture_decor,recency_pop_0.5,0,124,179.1774,0.04488,0.07933,0.08065,0.18548
olist_furniture_decor,recency_pop_1.0,0,124,180.3548,0.05935,0.09217,0.09677,0.20161
olist_furniture_decor,pop_category,0,124,74.8145,0.05918,0.07741,0.10484,0.16129
olist_furniture_decor,pop_price,0,124,73.2097,0.05645,0.08165,0.08871,0.16129
olist_furniture_decor,content_knn_1,0,124,,,,,
olist_furniture_decor,content_knn_3,0,124,,,,,
olist_furniture_decor,content_knn_5,0,124,,,,,
olist_furniture_decor,last_item_nbhd,0,124,,,,,
olist_furniture_decor,pop_scaled_content,0,124,,,,,
olist_furniture_decor,co_purchase,0,124,,,,,
olist_furniture_decor,lambda_hybrid_0.25,0,124,74.8145,0.05918,0.07741,0.10484,0.16129
olist_furniture_decor,lambda_hybrid_0.5,0,124,74.8145,0.05918,0.07741,0.10484,0.16129
olist_furniture_decor,lambda_hybrid_0.75,0,124,74.8145,0.05918,0.07741,0.10484,0.16129
olist_furniture_decor,active_elic2,0,124,74.8145,0.05918,0.07741,0.10484,0.16129
olist_furniture_decor,pop_global,1,124,964.4355,0.00000,0.00000,0.00000,0.00000
olist_furniture_decor,recency_pop_0.1,1,124,964.1935,0.00347,0.00347,0.00806,0.00806
olist_furniture_decor,recency_pop_0.5,1,124,964.2500,0.00000,0.00000,0.00000,0.00000
olist_furniture_decor,recency_pop_1.0,1,124,964.2742,0.00000,0.00000,0.00000,0.00000
olist_furniture_decor,pop_category,1,124,964.4355,0.00000,0.00000,0.00000,0.00000
olist_furniture_decor,pop_price,1,124,964.7742,0.00000,0.00000,0.00000,0.00000
olist_furniture_decor,content_knn_1,1,124,956.8387,0.00509,0.00509,0.00806,0.00806
