catalog_id,heuristic,k,published_ndcg5,mine_ndcg5,delta,pass_1e6,pass_print5
olist_all,pop_price,2,0.0064600,0.0064571,-2.888e-06,False,True
olist_all,content_knn_1,2,0.0135800,0.0135840,3.968e-06,False,True
olist_all,content_knn_3,2,0.0135800,0.0135840,3.968e-06,False,True
olist_all,content_knn_5,2,0.0135800,0.0135840,3.968e-06,False,True
olist_all,last_item_nbhd,2,0.0135800,0.0135840,3.968e-06,False,True
olist_all,pop_scaled_content,2,0.0115300,0.0115333,3.308e-06,False,True
olist_all,co_purchase,2,0.0042200,0.0042203,2.659e-07,True,True
olist_all,lambda_hybrid_0.25,2,0.0075600,0.0075647,4.748e-06,False,True
olist_all,lambda_hybrid_0.5,2,0.0132100,0.0132055,-4.451e-06,False,True
olist_all,lambda_hybrid_0.75,2,0.0132100,0.0132055,-4.451e-06,False,True
olist_all,pop_global,3,0.0028300,0.0028334,3.398e-06,False,True
olist_all,recency_pop_0.1,3,0.0025500,0.0025451,-4.916e-06,False,True
olist_all,recency_pop_0.5,3,0.0028300,0.0028334,3.398e-06,False,True
olist_all,recency_pop_1.0,3,0.0025500,0.0025451,-4.916e-06,False,True
olist_all,pop_category,3,0.0032900,0.0032895,-5.263e-07,True,True
olist_all,pop_price,3,0.0032900,0.0032895,-5.263e-07,True,True
olist_all,content_knn_1,3,0.0107300,0.0107298,-1.990e-07,True,True
olist_all,content_knn_3,3,0.0107300,0.0107298,-1.990e-07,True,True
olist_all,content_knn_5,3,0.0107300,0.0107298,-1.990e-07,True,True
olist_all,last_item_nbhd,3,0.0107300,0.0107298,-1.990e-07,True,True
olist_all,pop_scaled_content,3,0.0041500,0.0041509,8.536e-07,True,True
olist_all,co_purchase,3,0.0173100,0.0173087,-1.252e-06,False,True
olist_all,lambda_hybrid_0.25,3,0.0041500,0.0041509,8.536e-07,True,True
olist_all,lambda_hybrid_0.5,3,0.0069800,0.0069843,4.252e-06,False,True
olist_all,lambda_hybrid_0.75,3,0.0069800,0.0069843,4.252e-06,False,True
olist_all,pop_global,5,0.0000000,0.0000000,0.000e+00,True,True
olist_all,recency_pop_0.1,5,0.0000000,0.0000000,0.000e+00,True,True
olist_all,recency_pop_0.5,5,0.0000000,0.0000000,0.000e+00,True,True
olist_all,recency_pop_1.0,5,0.0000000,0.0000000,0.000e+00,True,True
olist_all,pop_category,5,0.0000000,0.0000000,0.000e+00,True,True
olist_all,pop_price,5,0.0000000,0.0000000,0.000e+00,True,True
olist_all,content_knn_1,5,0.0000000,0.0000000,0.000e+00,True,True
olist_all,content_knn_3,5,0.0000000,0.0000000,0.000e+00,True,True
olist_all,content_knn_5,5,0.0000000,0.0000000,0.000e+00,True,True
olist_all,last_item_nbhd,5,0.0000000,0.0000000,0.000e+00,True,True
olist_all,pop_scaled_content,5,0.0000000,0.0000000,0.000e+00,True,True
olist_all,co_purchase,5,0.0000000,0.0000000,0.000e+00,True,True
olist_all,lambda_hybrid_0.25,5,0.0000000,0.0000000,0.000e+00,True,True
olist_all,lambda_hybrid_0.5,5,0.0000000,0.0000000,0.000e+00,True,True
olist_all,lambda_hybrid_0.75,5,0.0000000,0.0000000,0.000e+00,True,True
olist_all,pop_global,8,0.0000000,0.0000000,0.000e+00,True,True
olist_all,recency_pop_0.1,8,0.0000000,0.0000000,0.000e+00,True,True
olist_all,recency_pop_0.5,8,0.0000000,0.0000000,0.000e+00,True,True
olist_all,recency_pop_1.0,8,0.0000000,0.0000000,0.000e+00,True,True
olist_all,pop_category,8,0.0000000,0.0000000,0.000e+00,True,True
olist_all,pop_price,8,0.0000000,0.0000000,0.000e+00,True,True
olist_all,content_knn_1,8,0.0000000,0.0000000,0.000e+00,True,True
olist_all,content_knn_3,8,0.0000000,0.0000000,0.000e+00,True,True
olist_all,content_knn_5,8,0.0000000,0.0000000,0.000e+00,True,True
olist_all,last_item_nbhd,8,0.0000000,0.0000000,0.000e+00,True,True
olist_all,pop_scaled_content,8,0.0000000,0.0000000,0.000e+00,True,True
olist_all,co_purchase,8,0.0000000,0.0000000,0.000e+00,True,True
olist_all,lambda_hybrid_0.25,8,0.0000000,0.0000000,0.000e+00,True,True
olist_all,lambda_hybrid_0.5,8,0.0000000,0.0000000,0.000e+00,True,True
olist_all,lambda_hybrid_0.75,8,0.0000000,0.0000000,0.000e+00,True,True
olist_all,HEADROOM,,0.0033224,0.0033224,1.301e-17,True,True
olist_furniture_decor,pop_global,0,0.0591800,0.0591790,-9.538e-07,True,True
olist_furniture_decor,recency_pop_0.1,0,0.0414600,0.0414596,-3.614e-07,True,True
olist_furniture_decor,recency_pop_0.5,0,0.0448800,0.0448850,4.962e-06,False,True
olist_furniture_decor,recency_pop_1.0,0,0.0593500,0.0593470,-2.976e-06,False,True
olist_furniture_decor,pop_category,0,0.0591800,0.0591790,-9.538e-07,True,True
olist_furniture_decor,pop_price,0,0.0564500,0.0564516,1.613e-06,False,True
olist_furniture_decor,lambda_hybrid_0.25,0,0.0591800,0.0591790,-9.538e-07,True,True
olist_furniture_decor,lambda_hybrid_0.5,0,0.0591800,0.0591790,-9.538e-07,True,True
olist_furniture_decor,lambda_hybrid_0.75,0,0.0591800,0.0591790,-9.538e-07,True,True
olist_furniture_decor,active_elic2,0,0.0591800,0.0591790,-9.538e-07,True,True
olist_furniture_decor,pop_global,1,0.0000000,0.0000000,0.000e+00,True,True
olist_furniture_decor,recency_pop_0.1,1,0.0034700,0.0034732,3.198e-06,False,True
