catalog_id,n_items,entropy,zipf_s,seed,phi_nominal,phi_effective,phi_capped,headroom,headroom_lo,headroom_hi,headroom_full,headroom_full_lo,headroom_full_hi,delta_vs_phi0,delta_lo,delta_hi,delta_dominant,winner_per_k,overtake_any,overtake_detail,gate_KS,gate_max_abs_dev,dHHI,dNormEntropy,inner_cells_used
phi_V100_EHIGH_z1.5_p0.25_s1,100,HIGH,1.5,1,0.25,0.25,False,-0.125522,-0.136620,-0.114852,-0.123901,-0.133229,-0.114781,0.002621,-0.015684,0.021036,false,0:pop_global;1:pop_price;2:lambda_hybrid_0.25;3:lambda_hybrid_0.25;5:pop_global;8:recency_pop_0.1,False,,0.003961,0.002377,-0.000259,0.001030,5
phi_V100_EHIGH_z1.5_p0.5_s0,100,HIGH,1.5,0,0.5,0.5,False,-0.123123,-0.134658,-0.111509,-0.122404,-0.132366,-0.111973,0.013532,-0.006977,0.033877,false,0:pop_price;1:pop_global;2:pop_price;3:pop_global;5:pop_category;8:pop_price,False,,0.008211,0.005827,-0.000110,-0.003147,5
phi_V100_EHIGH_z1.5_p0.5_s1,100,HIGH,1.5,1,0.5,0.5,False,-0.123527,-0.134692,-0.112432,-0.124632,-0.134644,-0.115240,0.001890,-0.017099,0.020577,false,0:pop_global;1:pop_price;2:pop_global;3:pop_global;5:pop_global;8:recency_pop_0.1,False,,0.010034,0.004489,-0.000278,0.000722,5
phi_V100_EHIGH_z1.5_p0.5_s2,100,HIGH,1.5,2,0.5,0.5,False,-0.152884,-0.166407,-0.140478,-0.152772,-0.163329,-0.142852,,,,,0:pop_price;1:pop_price;2:pop_price;3:pop_global;5:pop_global;8:recency_pop_0.1,False,,0.008680,0.005260,-0.001315,0.006028,5
phi_V100_EHIGH_z1.5_p0_s0,100,HIGH,1.5,0,0.0,0.0,False,-0.136593,-0.148205,-0.125086,-0.135937,-0.145851,-0.125389,,,,,0:pop_global;1:pop_global;2:pop_global;3:pop_global;5:pop_category;8:recency_pop_0.1,False,,0.000000,0.000000,0.000000,0.000000,5
phi_V100_EHIGH_z1.5_p0_s1,100,HIGH,1.5,1,0.0,0.0,False,-0.132375,-0.144832,-0.120394,-0.126522,-0.135817,-0.117545,,,,,0:pop_global;1:pop_price;2:pop_global;3:pop_global;5:pop_global;8:recency_pop_0.1,False,,0.000000,0.000000,0.000000,0.000000,5
phi_V100_EHIGH_z1.5_p1_s0,100,HIGH,1.5,0,1.0,1.0,False,-0.101524,-0.113284,-0.090207,-0.100828,-0.110601,-0.090734,0.035109,0.014788,0.055116,true,0:pop_global;1:pop_global;2:lambda_hybrid_0.25;3:pop_global;5:pop_global;8:recency_pop_0.1,False,,0.015495,0.018541,-0.002957,0.005637,5
phi_V100_EHIGH_z1.5_p1_s1,100,HIGH,1.5,1,1.0,1.0,False,-0.093815,-0.104582,-0.083108,-0.095134,-0.104127,-0.085305,0.031388,0.013418,0.050512,true,0:pop_price;1:pop_price;2:lambda_hybrid_0.25;3:lambda_hybrid_0.25;5:lambda_hybrid_0.25;8:recency_pop_0.1,False,,0.029575,0.015844,-0.000753,0.002027,5
phi_V100_ELOW_z0.5_p0.25_s0,100,LOW,0.5,0,0.25,0.25,False,-0.192128,-0.204500,-0.180069,-0.193613,-0.203422,-0.183096,0.008237,-0.011883,0.028851,false,0:pop_global;1:pop_global;2:pop_global;3:pop_global;5:pop_global;8:pop_global,False,,0.006622,0.007284,-0.006420,0.008160,5
phi_V100_ELOW_z0.5_p0.25_s1,100,LOW,0.5,1,0.25,0.25,False,-0.197953,-0.208095,-0.186453,-0.197247,-0.207413,-0.187788,0.002151,-0.017952,0.022113,false,0:pop_global;1:pop_global;2:pop_global;3:pop_global;5:pop_global;8:pop_global,False,,0.005149,0.004357,-0.004963,0.003997,5
